"marca_vehiculo","modelo_vehiculo","tipo_vehiculo","edad_vehiculo","fecha_accidente","gravedad_accidente","departamento_accidente","municipio_accidente","autoridad_de_transito"
"AKT","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2011","MOTOCICLETA","15","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"TOYOTA","2015","CAMIONETA","11","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"BAJAJ","2023","MOTOCICLETA","3","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2019","MOTOCICLETA","8","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2007","MOTOCICLETA","22","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2020","MOTOCICLETA","7","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"YAMAHA","2018","MOTOCICLETA","8","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"BAJAJ","2022","MOTOCICLETA","5","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"YAMAHA","2024","MOTOCICLETA","2","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AUTECO","2008","MOTOCICLETA","18","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AUTECO","2003","MOTOCICLETA","23","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"TOYOTA","2022","CAMPERO","4","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"TOYOTA","2021","CAMPERO","5","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"MERCEDES-BENZ","2012","BUS","14","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"INTERNATIONAL","1994","BUS","32","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"ZOTYE","2008","CAMIONETA","18","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"BAJAJ","2020","MOTOCICLETA","6","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2021","MOTOCICLETA","5","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"AKT","2017","MOTOCICLETA","9","12/2023","CON HERIDOS","VALLE DEL CAUCA","CALI","STRIA MCPAL TTO CALI"
"CHEVROLET","2008","AUTOMOVIL","18","12/2023","CON MUERTOS","HUILA","NEIVA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"HONDA","2017","MOTOCICLETA","9","12/2023","CON HERIDOS","CORDOBA","MONTERIA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2006","AUTOMOVIL","20","12/2023","CON HERIDOS","MAGDALENA","CIENAGA","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2013","AUTOMOVIL","13","12/2023","CON HERIDOS","CUNDINAMARCA","MADRID","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
"CHEVROLET","2014","CAMIONETA","11","12/2023","CON HERIDOS","CUNDINAMARCA","RICAURTE","DIRECCION DE TTOYTTE POLICIA NACIONAL - DITRA"
