cod_departamento,departamento,cod_municipio,municipio,ano,bajo_peso_nacer,controles_prenatales,fecundidad_adolescente,mortalidad_fetal,mortalidad_general,mortalidad_infantil,mortalidad_materna,mortalidad_neonatal,partos_cesarea,partos_institucionales
19,CAUCA,19001,Popayán,2011,10.33004158,5.842775468,157.0493754,32.31484974,7.368413198,16.63201663,155.9251559,10.00519751,43.72401247,99.69463622
44,La Guajira,sin dato,Riohacha,2020,9.994288978,3.642876638,156.1492879,13.99354144,4.795901684,14.87445415,245.6331878,9.961790393,44.3231441,94.69161469
54,Norte de Santander,54001,Cúcuta,2008,7.252559727,5.777973052,111.9623471,13.86481802,7.456837304,20.76417366,32.54572675,13.0182907,57.82920469,99.03986227
66,risaralda,66001,Pereira,2007.0,9.219858156,6.349440895,116.5781242,68.88537696,9.058479298,16.57348243,79.87220447,12.67971246,28.19770344,99.75510204
68,santander,68001,Bucaramanga,2015,9.926324962,7.009818671,100.5503908,47.22746134,8.745759244,,31.67313326,6.968089318,51.95185684,99.86953686
50,Meta,50001,Villavicencio,2017.0,6.864369821,5.604604517,92.90084578,103.7905432,5.982071571,,69.7654138,6.191680474,35.97279149,99.75931539
52,Nariño,52356,Ipiales,2008,6.03366148,5.791560914,132.9569788,46.58197217,4.094244225,7.614213198,,4.124365482,,99.15803109
73,Tolima,73001,Ibagué,2020.0,9.249033683,6.063172414,51.82594477,42.90429043,9.682111103,10.48275862,13.79310345,6.620689655,44.31724138,99.80248307
73,Tolima,73001,Ibagué,2006.0,,5.482855362,85.82486284,102.5736665,6.287024803,17.7680798,155.8603491,10.70241064,33.51711224,99.14113031
44,La Guajira,"44,430",Maicao,2019,8.310626703,3.716562245,172.1775071,15.55376777,4.92081954,30.10078998,190.6837374,16.07191501,47.91609916,98.65352582
17,caldas,sin dato,Manizales,2014,9.592913683,7.096099491,70.88979374,14.85056618,8.030367917,13.19012625,56.52911249,6.783493499,32.97531562,99.80754426
17,Caldas,17001,Manizales,2015.0,10.13157895,7.481112573,65.41236766,14.62962963,7.988386038,12.40368352,37.58691975,6.953580154,31.98646871,99.82722212
52,Nariño,52356,Ipiales,2007,6.599450046,5.646322856,126.7244777,49.8695274,4.676770585,8.23924321,91.54714678,4.882514495,38.72938302,98.76809362
44,  La Guajira  ,44430,Maicao,2020.0,9.925261584,3.370112945,153.7795105,13.85120663,5.181767096,20.27222705,188.2421083,13.61135245,46.64060237,95.5292376
73,tolima,73001,Ibagué,2008,9.080059672,6.062105055,84.781882,80.61002179,6.297727696,15.60031596,69.11532385,10.56477093,38.68194842,98.96001616
76,Valle del Cauca,76109,Buenaventura,2016.0,8.761528327,5.689132821,56.2234614,34.13910093,1.748942172,,131.7233809,3.951701427,31.65751921,96.20196604
20,  Cesar  ,20001,Valledupar,2008,11.0843166,5.622772781,124.4302644,17.50583528,5.359632095,23.84184626,76.36178517,15.7814356,70.2196769,98.05630611
66, RISARALDA ,66001,Pereira,2006,7.496101582,6.20554504,100.308335,30.8621992,8.463106948,15.03173366,55.67308763,10.24384812,29.95432773,99.71603816
5,Antioquia,5045,Apartadó,2008,7.779268059,5.464176245,178.5246097,85.49404345,3.694128899,11.30268199,38.31417625,8.620689655,31.93406172,99.43359375
52,Nariño,52835,San Andres De Tumaco,2009,7.209686296,4.133388339,107.3629945,7.099945385,3.872227902,15.67656766,110.0110011,10.72607261,58.69685257,99.54992968
8,Atlántico,8001,Barranquilla,2013,9.670788113,6.125302224,125.7273156,13.97621957,7.528091563,17.86146035,78.57833656,11.6356383,76.8042795,99.94741889
